query,query_type,drug,organ_filter,ground_truth,num_results
List risedronate's effects on the gastrointestinal system,organ_specific,risedronate,gastrointestinal,"['abdominal distension', 'abdominal distension', 'abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal pain upper', 'abdominal pain upper', 'abdominal pain lower', 'abdominal pain lower', 'abdominal bloating', 'abdominal distension', 'abdominal discomfort']",17
List risedronate's effects on the psychiatric system,organ_specific,risedronate,psychiatric,"['anxiety', 'anxiety', 'depression', 'depression', 'insomnia', 'insomnia']",6
Show cardiac toxicity of risedronate,organ_specific,risedronate,cardiac,"['arrhythmia', 'arrhythmia', 'cardiac disorder', 'cardiac disorder']",4
What neurological side effects does risedronate cause?,organ_specific,risedronate,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness']",5
Show hepatic toxicity of risedronate,organ_specific,risedronate,hepatic,"['liver function test abnormal', 'liver function test abnormal']",2
What gastrointestinal side effects does fluphenazine cause?,organ_specific,fluphenazine,gastrointestinal,"['constipation', 'constipation', 'nausea', 'nausea', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting']",10
What neurological side effects does fluphenazine cause?,organ_specific,fluphenazine,neurological,"['headache', 'headache', 'headache', 'headache', 'dizziness', 'tremor', 'tremor']",7
What cardiac side effects does fluphenazine cause?,organ_specific,fluphenazine,cardiac,"['cardiac arrest', 'cardiac arrest', 'tachycardia', 'tachycardia', 'arrhythmia', 'arrhythmia', 'cardiac arrest', 'cardiac arrest', 'tachycardia', 'tachycardia']",10
Show hepatic toxicity of fluphenazine,organ_specific,fluphenazine,hepatic,"['jaundice cholestatic', 'jaundice cholestatic', 'liver injury', 'jaundice cholestatic', 'jaundice cholestatic', 'liver injury']",6
Show renal toxicity of fluphenazine,organ_specific,fluphenazine,renal,"['renal failure acute', 'renal failure acute', 'renal failure acute', 'renal failure acute']",4
What gastrointestinal side effects does butorphanol cause?,organ_specific,butorphanol,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal pain upper', 'abdominal pain']",10
List butorphanol's effects on the psychiatric system,organ_specific,butorphanol,psychiatric,"['anxiety', 'anxiety', 'depression', 'depression', 'hallucination', 'hallucination', 'insomnia', 'insomnia']",8
What cardiac side effects does butorphanol cause?,organ_specific,butorphanol,cardiac,"['arrhythmia', 'arrhythmia', 'tachycardia', 'tachycardia']",4
List butorphanol's effects on the neurological system,organ_specific,butorphanol,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness', 'tremor', 'tremor']",7
Show gastrointestinal toxicity of temozolomide,organ_specific,temozolomide,gastrointestinal,"['abdominal distension', 'abdominal distension', 'abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting']",10
List temozolomide's effects on the psychiatric system,organ_specific,temozolomide,psychiatric,"['anxiety', 'anxiety', 'depression', 'depression', 'hallucination', 'hallucination', 'anxiety depression', 'depression', 'insomnia', 'insomnia']",10
Show neurological toxicity of temozolomide,organ_specific,temozolomide,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'neuropathy peripheral', 'neuropathy peripheral', 'tremor', 'tremor', 'neuropathy', 'neuropathy peripheral', 'partial seizures', 'partial seizures']",12
What cardiac side effects does temozolomide cause?,organ_specific,temozolomide,cardiac,"['cardiac disorder', 'cardiac disorder']",2
Show hematological toxicity of temozolomide,organ_specific,temozolomide,hematological,"['neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia', 'febrile neutropenia', 'febrile neutropenia']",6
Show hepatic toxicity of temozolomide,organ_specific,temozolomide,hepatic,"['hepatic failure', 'hepatic failure', 'liver injury', 'liver injury', 'traumatic liver injury', 'hepatotoxicity', 'hepatotoxicity', 'hepatic enzyme increased', 'hepatic enzyme increased']",9
What gastrointestinal side effects does gadodiamide cause?,organ_specific,gadodiamide,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting']",6
What psychiatric side effects does gadodiamide cause?,organ_specific,gadodiamide,psychiatric,"['anxiety', 'anxiety', 'hallucination', 'hallucination']",4
List gadodiamide's effects on the cardiac system,organ_specific,gadodiamide,cardiac,"['arrhythmia', 'arrhythmia', 'cardiac failure', 'cardiac failure', 'myocardial infarction', 'myocardial infarction', 'tachycardia', 'tachycardia', 'myocardial ischaemia', 'myocardial ischaemia']",10
Show neurological toxicity of gadodiamide,organ_specific,gadodiamide,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'neuropathy peripheral', 'neuropathy peripheral', 'dizziness', 'tremor', 'tremor', 'dizziness', 'tremor', 'autonomic neuropathy']",12
Show renal toxicity of gadodiamide,organ_specific,gadodiamide,renal,"['renal failure acute', 'renal failure acute', 'renal failure', 'renal failure', 'blood creatinine increased', 'blood creatinine increased', 'renal impairment', 'renal impairment', 'renal failure', 'acute kidney injury', 'renal failure acute']",11
Show hepatic toxicity of gadodiamide,organ_specific,gadodiamide,hepatic,"['hepatic enzyme increased', 'hepatic enzyme increased']",2
Show gastrointestinal toxicity of methamphetamine,organ_specific,methamphetamine,gastrointestinal,"['constipation', 'constipation']",2
List methamphetamine's effects on the neurological system,organ_specific,methamphetamine,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'tremor', 'tremor']",6
Show cardiac toxicity of methamphetamine,organ_specific,methamphetamine,cardiac,"['tachycardia', 'tachycardia']",2
Show psychiatric toxicity of methamphetamine,organ_specific,methamphetamine,psychiatric,"['insomnia', 'insomnia']",2
What gastrointestinal side effects does cosyntropin cause?,organ_specific,cosyntropin,gastrointestinal,"['abdominal distension', 'abdominal distension', 'nausea', 'nausea', 'vomiting', 'vomiting']",6
Show neurological toxicity of cosyntropin,organ_specific,cosyntropin,neurological,"['dizziness', 'dizziness', 'headache', 'headache']",4
What cardiac side effects does cosyntropin cause?,organ_specific,cosyntropin,cardiac,"['cardiac disorder', 'cardiac disorder', 'cardiac failure congestive', 'cardiac failure congestive', 'cardiac hypertrophy', 'cardiac hypertrophy', 'tachycardia', 'tachycardia', 'bradycardia', 'bradycardia']",10
Show renal toxicity of cosyntropin,organ_specific,cosyntropin,renal,"['adrenal haemorrhage', 'adrenal haemorrhage']",2
What gastrointestinal side effects does n-methylscopolamine cause?,organ_specific,n-methylscopolamine,gastrointestinal,"['constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal distension', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal distension']",14
Show neurological toxicity of n-methylscopolamine,organ_specific,n-methylscopolamine,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness', 'dizziness', 'headache', 'headache']",8
What cardiac side effects does n-methylscopolamine cause?,organ_specific,n-methylscopolamine,cardiac,"['tachycardia', 'tachycardia', 'tachycardia', 'tachycardia']",4
What psychiatric side effects does n-methylscopolamine cause?,organ_specific,n-methylscopolamine,psychiatric,"['insomnia', 'insomnia', 'insomnia', 'insomnia']",4
Show gastrointestinal toxicity of amiloride,organ_specific,amiloride,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'fullness abdominal', 'abdominal distension']",10
What psychiatric side effects does amiloride cause?,organ_specific,amiloride,psychiatric,"['depression', 'depression', 'insomnia', 'insomnia']",4
What neurological side effects does amiloride cause?,organ_specific,amiloride,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'tremor', 'tremor']",6
List amiloride's effects on the hepatic system,organ_specific,amiloride,hepatic,"['hepatic encephalopathy', 'hepatic encephalopathy', 'jaundice', 'jaundice', 'liver disorder', 'liver disorder', 'foetor hepaticus', 'hepatic function abnormal', 'hepatic function abnormal']",9
Show hematological toxicity of amiloride,organ_specific,amiloride,hematological,"['neutropenia', 'neutropenia']",2
What cardiac side effects does amiloride cause?,organ_specific,amiloride,cardiac,"['bradycardia', 'bradycardia']",2
List clevidipine's effects on the neurological system,organ_specific,clevidipine,neurological,"['headache', 'headache']",2
What renal side effects does clevidipine cause?,organ_specific,clevidipine,renal,"['renal failure acute', 'renal failure acute']",2
What cardiac side effects does clevidipine cause?,organ_specific,clevidipine,cardiac,"['myocardial infarction', 'myocardial infarction', 'reflex tachycardia', 'tachycardia']",4
Show gastrointestinal toxicity of clevidipine,organ_specific,clevidipine,gastrointestinal,"['nausea', 'nausea', 'vomiting', 'vomiting']",4
List mitomycin's effects on the neurological system,organ_specific,mitomycin,neurological,"['headache', 'headache', 'dizziness']",3
List mitomycin's effects on the cardiac system,organ_specific,mitomycin,cardiac,"['cardiac failure congestive', 'cardiac failure congestive']",2
What gastrointestinal side effects does mitomycin cause?,organ_specific,mitomycin,gastrointestinal,"['nausea', 'nausea', 'vomiting', 'vomiting']",4
What hematological side effects does mitomycin cause?,organ_specific,mitomycin,hematological,"['thrombocytopenia', 'thrombocytopenia']",2
List mitomycin's effects on the renal system,organ_specific,mitomycin,renal,"['function kidney decreased', 'renal impairment', 'irreversible renal failure', 'renal failure chronic', 'renal impairment', 'renal impairment', 'renal failure']",7
Show gastrointestinal toxicity of captopril,organ_specific,captopril,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting']",8
What neurological side effects does captopril cause?,organ_specific,captopril,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness']",5
Show psychiatric toxicity of captopril,organ_specific,captopril,psychiatric,"['hallucination', 'hallucination', 'insomnia', 'insomnia']",4
What cardiac side effects does captopril cause?,organ_specific,captopril,cardiac,"['cardiac arrest', 'cardiac arrest', 'tachycardia', 'tachycardia']",4
List captopril's effects on the hepatic system,organ_specific,captopril,hepatic,"['jaundice', 'jaundice', 'jaundice cholestatic', 'jaundice cholestatic', 'liver injury', 'hepatic necrosis', 'hepatic necrosis', 'liver injury', 'liver injury', 'traumatic liver injury']",10
Show renal toxicity of captopril,organ_specific,captopril,renal,"['renal failure acute', 'renal failure acute', 'oliguria', 'oliguria', 'renal failure', 'renal failure', 'irreversible renal failure', 'renal failure chronic']",8
Show hematological toxicity of captopril,organ_specific,captopril,hematological,"['neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia']",4
What gastrointestinal side effects does lapatinib cause?,organ_specific,lapatinib,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting']",8
List lapatinib's effects on the neurological system,organ_specific,lapatinib,neurological,"['headache', 'headache', 'neuropathy peripheral', 'neuropathy peripheral', 'peripheral sensory neuropathy', 'peripheral sensory neuropathy']",6
List lapatinib's effects on the cardiac system,organ_specific,lapatinib,cardiac,"['cardiac disorder', 'cardiac disorder', 'cardiac failure', 'cardiac failure']",4
List lapatinib's effects on the renal system,organ_specific,lapatinib,renal,"['renal failure acute', 'renal failure acute']",2
List lapatinib's effects on the hematological system,organ_specific,lapatinib,hematological,"['neutropenia', 'neutropenia']",2
What hepatic side effects does lapatinib cause?,organ_specific,lapatinib,hepatic,"['hepatotoxicity', 'hepatotoxicity']",2
Show psychiatric toxicity of lapatinib,organ_specific,lapatinib,psychiatric,"['insomnia', 'insomnia']",2
Show gastrointestinal toxicity of thiabendazole,organ_specific,thiabendazole,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting']",6
List thiabendazole's effects on the neurological system,organ_specific,thiabendazole,neurological,"['dizziness', 'dizziness', 'headache', 'headache']",4
What hepatic side effects does thiabendazole cause?,organ_specific,thiabendazole,hepatic,"['jaundice', 'jaundice', 'hepatic failure', 'hepatic failure', 'liver injury']",5
Show gastrointestinal toxicity of saxagliptin,organ_specific,saxagliptin,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting']",6
What neurological side effects does saxagliptin cause?,organ_specific,saxagliptin,neurological,"['dizziness', 'dizziness', 'headache', 'headache']",4
Show renal toxicity of saxagliptin,organ_specific,saxagliptin,renal,"['renal failure chronic', 'renal failure chronic', 'blood creatinine increased', 'blood creatinine increased']",4
List saxagliptin's effects on the hematological system,organ_specific,saxagliptin,hematological,"['thrombocytopenia', 'thrombocytopenia']",2
Show gastrointestinal toxicity of zaleplon,organ_specific,zaleplon,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea']",6
What psychiatric side effects does zaleplon cause?,organ_specific,zaleplon,psychiatric,"['anxiety', 'anxiety', 'depression', 'depression', 'hallucination', 'hallucination', 'insomnia', 'insomnia']",8
List zaleplon's effects on the neurological system,organ_specific,zaleplon,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness', 'tremor', 'tremor', 'neuropathy', 'neuropathy peripheral']",9
List zaleplon's effects on the hematological system,organ_specific,zaleplon,hematological,"['gingival bleeding', 'gingival bleeding']",2
List zaleplon's effects on the renal system,organ_specific,zaleplon,renal,"['calculus of kidney', 'renal pain', 'renal pain']",3
List zaleplon's effects on the cardiac system,organ_specific,zaleplon,cardiac,"['tachycardia', 'tachycardia', 'ventricular tachycardia', 'ventricular tachycardia', 'sinus bradycardia', 'sinus bradycardia']",6
List zaleplon's effects on the hepatic system,organ_specific,zaleplon,hepatic,"['liver function test abnormal', 'liver function test abnormal', 'hepatotoxicity', 'hepatotoxicity']",4
What gastrointestinal side effects does miglustat cause?,organ_specific,miglustat,gastrointestinal,"['abdominal distension', 'abdominal distension', 'abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal pain upper', 'abdominal distension gaseous', 'abdominal distension', 'abdominal bloating', 'abdominal distension']",15
What psychiatric side effects does miglustat cause?,organ_specific,miglustat,psychiatric,"['depression', 'depression', 'insomnia', 'insomnia']",4
List miglustat's effects on the neurological system,organ_specific,miglustat,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'neuropathy peripheral', 'neuropathy peripheral', 'neuropathy peripheral', 'tremor', 'tremor', 'polyneuropathy', 'polyneuropathy', 'neuropathy', 'neuropathy peripheral']",13
What hematological side effects does miglustat cause?,organ_specific,miglustat,hematological,"['thrombocytopenia', 'thrombocytopenia']",2
